"job_id","job_title","salary_year_avg","salary_hour_avg","skills"
177212,"Senior Performance Engineer","","40.0","oracle"
214253,"Client Data Analyst (CDM&PR)","","37.5","go"
214253,"Client Data Analyst (CDM&PR)","","37.5","express"
1655307,"Backend Cloud Data Engineer - Node.JS","","35.0","dynamodb"
1655307,"Backend Cloud Data Engineer - Node.JS","","35.0","aws"
1655307,"Backend Cloud Data Engineer - Node.JS","","35.0","snowflake"
1655307,"Backend Cloud Data Engineer - Node.JS","","35.0","airflow"
1655307,"Backend Cloud Data Engineer - Node.JS","","35.0","graphql"
1655307,"Backend Cloud Data Engineer - Node.JS","","35.0","node.js"
1655307,"Backend Cloud Data Engineer - Node.JS","","35.0","kubernetes"
1655307,"Backend Cloud Data Engineer - Node.JS","","35.0","docker"
616663,"Data Analyst","","35.0","sql"
616663,"Data Analyst","","35.0","excel"
616663,"Data Analyst","","35.0","power bi"
590212,"Data Analyst","","34.0","sql"
573176,"Data Analyst","","33.0","tableau"
573176,"Data Analyst","","33.0","power bi"
616032,"American Airlines Online Jobs ( Senior Data Engineer, IT Analytics )","","26.0","databricks"
1507731,"Kids Content Tagger Netflix, Jobs For Netflix ( Data Engineer 5 –...","","26.0","kafka"
440096,"Financial Analyst Job Advertisement","","26.0","excel"
62947,"Remote Data Analyst Job at Online Retailer - Apply Now!","","26.0","sql"
62947,"Remote Data Analyst Job at Online Retailer - Apply Now!","","26.0","excel"
62947,"Remote Data Analyst Job at Online Retailer - Apply Now!","","26.0","tableau"
62947,"Remote Data Analyst Job at Online Retailer - Apply Now!","","26.0","power bi"
44678,"Junior Data Analyst - Remote (Work from Home)","","25.0","sql"
44678,"Junior Data Analyst - Remote (Work from Home)","","25.0","python"
44678,"Junior Data Analyst - Remote (Work from Home)","","25.0","r"
44678,"Junior Data Analyst - Remote (Work from Home)","","25.0","tableau"
44678,"Junior Data Analyst - Remote (Work from Home)","","25.0","power bi"
98162,"Full-time Data Entry Analyst – Entry level (Remote)","","25.0","excel"
855567,"Data Research and Analysis Specialist (Work from Home) at Amazon","","25.0","python"
855567,"Data Research and Analysis Specialist (Work from Home) at Amazon","","25.0","r"
855567,"Data Research and Analysis Specialist (Work from Home) at Amazon","","25.0","excel"
26978,"Online Data Analyst (Part-time WFH)","","25.0","sql"
26978,"Online Data Analyst (Part-time WFH)","","25.0","python"
26978,"Online Data Analyst (Part-time WFH)","","25.0","r"
228786,"Finance Data Analyst","","23.0","sql"
228786,"Finance Data Analyst","","23.0","excel"
228786,"Finance Data Analyst","","23.0","power bi"
349325,"Data Analyst","","22.0","sql"
349325,"Data Analyst","","22.0","excel"
349325,"Data Analyst","","22.0","tableau"
242688,"Data Analyst","","22.0","sql"
242688,"Data Analyst","","22.0","excel"
242688,"Data Analyst","","22.0","tableau"
242688,"Data Analyst","","22.0","sheets"
571763,"Systems Data Analyst","","22.0","sql"
272308,"Junior Data Analyst","","20.0","sql"
272308,"Junior Data Analyst","","20.0","python"
272308,"Junior Data Analyst","","20.0","excel"
